Date,Value
4/1/2017,3.75
1/1/2017,3.75
10/1/2016,3.54
7/1/2016,3.53
4/1/2016,3.55
1/1/2016,3.54
10/1/2015,3.31
7/1/2015,3.32
4/1/2015,3.35
1/1/2015,3.34
10/1/2014,3.35
7/1/2014,3.36
4/1/2014,3.36
1/1/2014,3.36
10/1/2013,3.34
7/1/2013,3.4
4/1/2013,3.39
1/1/2013,3.39
10/1/2012,3.38
7/1/2012,3.39
4/1/2012,3.39
1/1/2012,3.38
10/1/2011,3.39
7/1/2011,3.36
4/1/2011,3.29
1/1/2011,3.34
10/1/2010,3.4
7/1/2010,3.38
4/1/2010,3.36
1/1/2010,3.4
10/1/2009,3.39
7/1/2009,3.32
4/1/2009,3.31
1/1/2009,3.34
10/1/2008,4.04
7/1/2008,5.01
4/1/2008,5.05
1/1/2008,6.03
10/1/2007,7.52
7/1/2007,8.26
4/1/2007,8.26
10/1/2006,8.26
7/1/2006,8.27
4/1/2006,7.75
1/1/2006,7.5
10/1/2005,7
7/1/2005,6.29
4/1/2005,5.91
1/1/2005,5.53
10/1/2004,4.79
7/1/2004,4.29
4/1/2004,4.04
1/1/2004,4.08
10/1/2003,4.04
7/1/2003,4.07
4/1/2003,4.27
1/1/2003,4.31
10/1/2002,4.64
7/1/2002,4.79
4/1/2002,4.84
1/1/2002,4.78
10/1/2001,5.28
7/1/2001,6.77
4/1/2001,7.55
1/1/2001,8.52
10/1/2000,9.51
7/1/2000,9.55
4/1/2000,9.02
1/1/2000,8.77
10/1/1999,8.26
7/1/1999,8.03
4/1/1999,7.77
1/1/1999,7.78
10/1/1998,8.04
7/1/1998,8.52
4/1/1998,8.53
1/1/1998,8.55
10/1/1997,8.53
7/1/1997,8.51
4/1/1997,8.54
